Distal,Shape,Class,Length,Cortex_Percentagem,Thickness,Width,Cortex_Location,Scar_count,Profile,Cross_section,Platform_type,Dorsal_Pattern,Cortex
Natural,Irregular,Flake,38.43,NoCortex,18.81,33.35,, ,Irregular,Irregular,Liso,Other,No_cortex
Natural,Divergent,Flake,35.94,NoCortex,19.39,41.42,, ,Direito,Triangular,Liso,Other,No_cortex
Natural,Paralell,Flake,34.29,NoCortex,19.61,29.74,, ,Direito,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,31.09,NoCortex,8.03,24.88,, ,Direito,Irregular,Liso,Other,No_cortex
Natural,Divergent,Flake,30.06,NoCortex,12.75,28.28,, ,Irregular,Irregular,Crushed,Other,No_cortex
Natural,Divergent,Flake,30.04,NoCortex,3.83,20.92,, ,Direito,Flat,Liso,Other,No_cortex
Natural,Divergent,Flake,26.99,NoCortex,11.2,19.5,, ,Irregular,Irregular,Cortical,Other,No_cortex
Hinged,Irregular,Flake,26.78,NoCortex,12.55,33.76,, ,Direito,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,26.65,NoCortex,12.91,39.29,, ,Direito,Irregular,Other,Other,No_cortex
Natural,Convergent,Flake,26.58,NoCortex,13.27,37.23,, ,Direito,Triangular,Liso,Other,No_cortex
Natural,Divergent,Flake,26.52,NoCortex,2.01,13.85,, ,Direito,Flat,Liso,Other,No_cortex
Natural,Paralell,Flake,26.35,NoCortex,4.4,15.54,, ,Encurvado,Irregular,Crushed,Other,No_cortex
Natural,Irregular,Flake,25.74,NoCortex,4.72,23.87,, ,Direito,Flat,Cortical,Other,No_cortex
Natural,Biconvex,Flake,24.39,NoCortex,8.79,19.14,, ,Direito,Irregular,Linear,Other,No_cortex
Natural,Irregular,Flake,23.08,NoCortex,7.59,28.4,, ,Direito,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,22.22,NoCortex,7.62,18.01,, ,Irregular,Irregular,Cortical,Other,No_cortex
Natural,Irregular,Flake,22,NoCortex,11.88,32.74,, ,Irregular,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,21.96,NoCortex,2.96,24.53,, ,Direito,Flat,Linear,Other,No_cortex
Natural,Paralell,Flake,21.74,NoCortex,3.81,14.54,, ,Direito,Irregular,Linear,Other,No_cortex
Natural,Paralell,Flake,21.74,NoCortex,6.18,15.07,, ,Direito,Triangular,Liso,Other,No_cortex
Natural,Irregular,Flake,21.65,NoCortex,2.65,15.69,, ,Direito,Irregular,Crushed,Other,No_cortex
Natural,Irregular,Flake,21.35,NoCortex,4.23,28.53,, ,Encurvado,Irregular,Crushed,Other,No_cortex
Natural,Biconvex,Flake,19.51,NoCortex,2.12,13.64,, ,Direito,Flat,Liso,Other,No_cortex
Natural,Irregular,Flake,19.45,NoCortex,6.75,17.29,, ,Direito,Irregular,Other,Other,No_cortex
Natural,Divergent,Flake,18.45,NoCortex,3.79,29.06,, ,Direito,Flat,Liso,Other,No_cortex
Natural,Irregular,Flake,18.35,NoCortex,2.55,13.46,, ,Encurvado,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,18.25,NoCortex,5.82,17.88,, ,Irregular,Irregular,Crushed,Other,No_cortex
